N,T,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block
500,2000,0.006739377975463867,0.32749056816101074,0.006625175476074219,0.020578846020843117,1.0172376565423924,179.484375,183.5390625,186.796875,True,True
1000,2000,0.014149904251098633,0.4254631996154785,0.017313480377197266,0.03325764546472389,0.8172767082541519,216.13671875,229.8125,246.03125,True,True
2000,2000,0.03982877731323242,0.5547170639038086,0.04805731773376465,0.07180016607554546,0.8287765358416804,272.84765625,346.54296875,397.86328125,True,True
4000,2000,0.17478275299072266,0.9500164985656738,0.16277003288269043,0.18397865011250653,1.0738017919839697,411.9921875,588.91015625,663.2109375,True,True
8000,2000,0.4990885257720947,1.817488431930542,0.5612297058105469,0.2746034126016204,0.889276744628644,873.74609375,1408.1953125,1897.41796875,True,True
10000,2000,0.683133602142334,2.526519536972046,0.879000186920166,0.27038524426415006,0.77717116822909,1232.75,2035.09765625,2798.9765625,True,True
15000,2000,1.478501796722412,4.6064133644104,1.9188342094421387,0.3209659402574379,0.7705208659753131,2318.86328125,4034.5,5752.0546875,True,True
20000,2000,2.7948129177093506,8.449143648147583,5.363666772842407,0.33078061328997455,0.521063860987821,3744.6171875,6795.390625,9848.08984375,True,True
