N,T,gpu_full_time,gpu_full_mem,gpu_block_time,gpu_block_mem,block_size,version,dataset
500,2000,0.15918775799218565,18.09716796875,,,,baseline,random
1000,2000,0.003850220935419202,32.37841796875,,,,baseline,random
2000,2000,0.012343876995146275,72.57080078125,,,,baseline,random
4000,2000,0.06353282404597849,193.62158203125,,,,baseline,random
8000,2000,0.23692944704089314,620.89794921875,,,,baseline,random
10000,2000,0.20579729008022696,925.22021484375,,,,baseline,random
15000,2000,0.6284996130270883,1954.16650390625,,,,baseline,random
20000,2000,1.12568309600465,3365.88427734375,,,,baseline,random
