N,T,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block
500,2000,0.018076658248901367,0.0339961051940918,0.015891551971435547,0.5317273301073007,1.1375011252137905,177.1484375,194.8046875,198.765625,True,True
1000,2000,0.03823995590209961,0.06807565689086914,0.041876792907714844,0.5617273141176059,0.913153879437954,220.8515625,238.22265625,225.7890625,True,True
2000,2000,0.12463903427124023,0.12555241584777832,0.1768946647644043,0.9927250975588914,0.7045946492351237,278.3359375,351.53515625,397.3203125,True,True
4000,2000,0.4586043357849121,0.44051671028137207,0.7407896518707275,1.0410600212917847,0.6190749757732057,416.6171875,580.0390625,717.24609375,True,True
8000,2000,1.7310049533843994,1.5164663791656494,3.0450990200042725,1.1414726875361312,0.5684560475744301,923.41796875,1412.6484375,1900.93359375,True,True
10000,2000,2.6327760219573975,2.3655803203582764,4.7802722454071045,1.112951439145661,0.5507585942384294,1233.44140625,1996.40234375,2759.34765625,True,True
15000,2000,5.780270338058472,5.2583534717559814,11.014662027359009,1.0992548083931302,0.524779636787858,2273.19921875,3989.81640625,5706.43359375,True,True
20000,2000,10.767638683319092,9.150200843811035,20.322876930236816,1.1767652827644817,0.5298284647533719,3686.3125,6738.1015625,9789.86328125,True,True
