N,T,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block
500,2000,0.012341022491455078,0.0800940990447998,0.013241767883300781,0.15408154456612658,0.9319769535469932,177.73828125,183.06640625,187.015625,True,True
1000,2000,0.03616952896118164,0.1296858787536621,0.03862953186035156,0.27890105930411696,0.9363180763343703,209.10546875,223.796875,239.0546875,True,True
2000,2000,0.1264476776123047,0.29522013664245605,0.17923402786254883,0.42831657437191245,0.7054892372852046,263.9140625,329.47265625,375.25,True,True
4000,2000,0.48339319229125977,0.7502865791320801,0.8000295162200928,0.6442780741865882,0.6042191975305514,394.546875,611.9609375,734.03515625,True,True
8000,2000,1.8384459018707275,2.052309036254883,3.3467893600463867,0.8957938933142255,0.5493162861750124,924.9453125,1396.53515625,1884.8203125,True,True
10000,2000,2.8930463790893555,2.903059244155884,5.268335819244385,0.9965509263764819,0.5491385663991885,1217.328125,2020.671875,2783.61328125,True,True
15000,2000,6.432921886444092,6.150241374969482,12.596102952957153,1.0459625068741325,0.5107073124496694,2297.46484375,4014.0859375,5730.703125,True,True
20000,2000,11.915984392166138,11.638809204101562,21.68469500541687,1.0238147376766773,0.5495112746197033,3710.58203125,6762.3515625,9814.11328125,True,True
