N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode
500,2000,baseline,0.036177873611450195,0.6041345596313477,0.03995943069458008,0.059883800776976734,0.905365091108698,203.69921875,215.33203125,212.42578125,True,True,multi
1000,2000,baseline,0.06812047958374023,0.5185544490814209,0.056532859802246094,0.13136610765640985,1.204971406400243,237.859375,269.49609375,270.43359375,True,True,multi
2000,2000,baseline,0.04823899269104004,0.6953904628753662,0.06800103187561035,0.06936964952262488,0.709386186657878,289.38671875,391.984375,412.9609375,True,True,multi
4000,2000,baseline,0.14948058128356934,0.8591735363006592,0.17263579368591309,0.17398182668333503,0.8658724711257073,494.2734375,812.453125,858.6484375,True,True,multi
8000,2000,baseline,0.537949800491333,1.5911803245544434,0.5998318195343018,0.3380822350489834,0.896834384192868,1114.9609375,2206.78515625,2123.265625,True,True,multi
10000,2000,baseline,0.7066240310668945,2.2837274074554443,2.152944803237915,0.3094169771576299,0.3282127948678338,1489.43359375,3147.6015625,3015.23828125,True,True,multi
15000,2000,baseline,1.4720807075500488,4.463399887084961,2.2524685859680176,0.32981152143897696,0.6535410601153443,2611.51171875,6229.04296875,6045.69140625,True,True,multi
20000,2000,baseline,3.0348312854766846,9.83076548576355,6.3184802532196045,0.3087075253571641,0.48031032207947083,4114.609375,10464.359375,10218.17578125,True,True,multi
