N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
500,2000,optimized,0.04049229621887207,0.08594155311584473,0.05320405960083008,0.4711608616647941,0.7610753112200543,203.828125,214.91796875,212.609375,False,True,multi,random
1000,2000,optimized,0.05842256546020508,0.20905828475952148,0.04006338119506836,0.2794558729275341,1.45825349028196,238.05078125,269.67578125,255.7578125,False,True,multi,random
2000,2000,optimized,0.05474400520324707,0.8182272911071777,0.06362652778625488,0.06690562121091152,0.8603959245922157,289.5859375,441.69921875,413.15625,False,True,multi,random
4000,2000,optimized,0.15195727348327637,3.859253406524658,0.15254998207092285,0.039374785088320284,0.9961146597357781,494.4609375,1006.78125,759.06640625,False,True,multi,random
8000,2000,optimized,0.5443425178527832,17.196751356124878,0.5638072490692139,0.031653799405485246,0.9654762664925559,1015.62890625,2846.58203125,1993.06640625,False,True,multi,random
10000,2000,optimized,0.9815552234649658,28.26623845100403,0.8739280700683594,0.034725357078069244,1.1231533315873328,1358.9296875,4216.63671875,2920.51953125,False,True,multi,random
15000,2000,optimized,2.0072367191314697,64.71968173980713,1.8903558254241943,0.03101431689978288,1.0618301021084469,2516.83203125,8804.05859375,6001.2734375,False,True,multi,random
20000,2000,optimized,3.934109926223755,116.01430892944336,3.313800096511841,0.03391055777969914,1.1871898761681074,4070.19921875,15055.33984375,10173.64453125,False,True,multi,random
