N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
500,2000,optimized,0.04460501670837402,0.1086893081665039,0.0526731014251709,0.4103901060814783,0.8468272325247707,204.33984375,215.48828125,211.2734375,False,True,single,random
1000,2000,optimized,0.034352779388427734,0.22424578666687012,0.03597068786621094,0.1531925299424276,0.9550214751577496,234.25390625,269.6875,266.6796875,False,True,single,random
2000,2000,optimized,0.05959272384643555,0.8015255928039551,0.06398415565490723,0.07434912170173376,0.9313668866374283,293.63671875,446.3828125,417.6015625,False,True,single,random
4000,2000,optimized,0.1497499942779541,3.8021090030670166,0.1588609218597412,0.03938603395040923,0.9426484029229594,498.99609375,1011.4375,763.24609375,False,True,single,random
8000,2000,optimized,0.517941951751709,16.91510796546936,0.5398783683776855,0.030620079564909662,0.9593678541114832,1020.28515625,2851.01171875,1997.40234375,False,True,single,random
10000,2000,optimized,0.7193934917449951,27.37423086166382,0.8801770210266113,0.026279952681792722,0.8173281903064417,1363.359375,4221.07421875,2925.0546875,False,True,single,random
15000,2000,optimized,2.0240461826324463,64.79656958580017,1.9743740558624268,0.03123693423233327,1.025158417485547,2521.26953125,8808.48828125,6005.703125,False,True,single,random
20000,2000,optimized,3.8466551303863525,119.29560041427612,3.433344841003418,0.032244735908349746,1.1203812341967205,4074.62890625,15059.77734375,10178.08203125,False,True,single,random
