N,T,block_size,gpu_full_pageable_h2d,gpu_full_pageable_comp,gpu_full_pageable_d2h,gpu_full_pageable_total,gpu_full_pageable_mem,gpu_block_pageable_h2d,gpu_block_pageable_comp,gpu_block_pageable_d2h,gpu_block_pageable_total,gpu_block_pageable_mem,gpu_full_pinned_h2d,gpu_full_pinned_comp,gpu_full_pinned_d2h,gpu_full_pinned_total,gpu_full_pinned_mem,gpu_block_pinned_h2d,gpu_block_pinned_comp,gpu_block_pinned_d2h,gpu_block_pinned_total,gpu_block_pinned_mem,version,dataset
500,2000,,0.000758401001803577,0.03184799800510518,0.00040713399357628077,0.03301353300048504,18.09716796875,,,,,,0.0003961570037063211,0.001361025992082432,0.000547589996131137,0.00230477299191989,20.00390625,,,,,,baseline,random
1000,2000,,0.0008097140089375898,0.0031689720053691417,0.001183455009595491,0.0051621410239022225,32.37841796875,,,,,,0.0006829679914517328,0.003047796999453567,0.0036797420034417883,0.007410506994347088,32.37841796875,,,,,,baseline,random
2000,2000,,0.0021069950016681105,0.010580289992503822,0.0045793350000167266,0.01726661999418866,72.57080078125,,,,,,0.0014156749966787174,0.010554360997048207,0.004371409013401717,0.01634144500712864,72.57080078125,,,,,,baseline,random
4000,2000,,0.004961546990671195,0.059696822994737886,0.016785425003035925,0.081443794988445,193.62158203125,,,,,,0.003015877999132499,0.05939174900413491,0.016805805003969,0.0792134320072364,193.62158203125,,,,,,baseline,random
8000,2000,,0.009841746999882162,0.17678573900775518,0.06480217899661511,0.25142966500425246,620.89794921875,,,,,,0.0055599689949303865,0.19124951401317958,0.06783177400939167,0.26464125701750163,620.89794921875,,,,,,baseline,random
10000,2000,,0.015008364003733732,0.24200403099530376,0.10428600599698257,0.36129840099602006,925.22021484375,,,,,,0.006886932998895645,0.22810615799971856,0.1046364540088689,0.3396295450074831,925.22021484375,,,,,,baseline,random
15000,2000,,0.020474395001656376,0.6619776340085082,0.2372992449963931,0.9197512740065577,1954.16650390625,,,,,,0.020350662001874298,0.6369454090017825,0.22559050400741398,0.8828865750110708,1954.16650390625,,,,,,baseline,random
20000,2000,,0.028147025004727766,1.1755928310012678,0.4057699590048287,1.6095098150108242,3365.88427734375,,,,,,0.026585630999761634,1.1248622720013373,0.4041938580048736,1.5556417610059725,3365.88427734375,,,,,,baseline,random
