N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode
500,2000,baseline,0.05331850051879883,0.45107364654541016,0.04123353958129883,0.11820353711005635,1.2930857030518197,203.7109375,215.34765625,212.4375,True,True,single
1000,2000,baseline,0.03327202796936035,0.7850501537322998,0.03345322608947754,0.04238204121249817,0.9945835382323804,230.24609375,261.86328125,262.34375,True,True,single
2000,2000,baseline,0.058477163314819336,0.6181933879852295,0.07100129127502441,0.0945936408433675,0.8236070396002699,289.40234375,394.03125,415.0078125,True,True,single
4000,2000,baseline,0.15204334259033203,0.6541910171508789,0.18582701683044434,0.23241429277416326,0.8181982640826774,496.31640625,783.46484375,860.69921875,True,True,single
8000,2000,baseline,0.5448579788208008,1.5528051853179932,0.6037509441375732,0.3508862437944663,0.9024548683714309,1117.01171875,2152.10546875,2093.8671875,True,True,single
10000,2000,baseline,0.7391984462738037,2.241708993911743,0.9224855899810791,0.32974772741751607,0.8013116457341791,1459.828125,3111.5625,3019.27734375,True,True,single
15000,2000,baseline,1.539208173751831,4.343883037567139,1.9581036567687988,0.3543392306929814,0.7860708336001905,2615.55078125,6272.86328125,6048.671875,True,True,single
20000,2000,baseline,2.8988449573516846,8.09276032447815,6.5948286056518555,0.35820225005101863,0.43956335042086403,4117.703125,10452.14453125,10221.27734375,True,True,single
