N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
500,2000,baseline,0.039114952087402344,0.5215330123901367,0.046895503997802734,0.07499995428504554,0.8340874658098366,204.2578125,215.296875,212.9140625,True,True,single,random
1000,2000,baseline,0.03158402442932129,0.8095898628234863,0.03298044204711914,0.03901237636445987,0.9576592207041134,230.71484375,263.6484375,264.52734375,True,True,single,random
2000,2000,baseline,0.056977033615112305,0.6162564754486084,0.06638240814208984,0.09245668951979037,0.8583152556495754,291.1796875,393.0078125,413.984375,True,True,single,random
4000,2000,baseline,0.15011000633239746,0.7224752902984619,0.1826167106628418,0.20777182050113505,0.8219949082838305,495.2890625,762.19921875,884.95703125,True,True,single,random
8000,2000,baseline,0.5346202850341797,1.4856793880462646,0.5883398056030273,0.35984902889258596,0.9086930374976293,1141.51953125,2212.34765625,2118.125,True,True,single,random
10000,2000,baseline,0.7356266975402832,2.329188585281372,0.8962626457214355,0.31582959928142423,0.8207713453773917,1484.29296875,3105.2734375,3010.05078125,True,True,single,random
15000,2000,baseline,1.5013954639434814,4.39345121383667,1.9776573181152344,0.3417348664792291,0.759178776924991,2606.30078125,6192.6953125,6039.41796875,True,True,single,random
20000,2000,baseline,2.9713668823242188,9.080236911773682,5.434511184692383,0.32723451064051684,0.5467588125853514,4108.3359375,10515.34375,10211.78125,True,True,single,random
