N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
2,3654,baseline,0.029169321060180664,0.044756174087524414,0.06522250175476074,0.6517384842399092,0.4472278780390623,176.47265625,176.84375,176.76953125,True,True,single,global_temp
5,3654,baseline,0.06662893295288086,0.061522722244262695,0.06889820098876953,1.0829971516595942,0.9670634645996262,176.921875,177.13671875,176.9765625,True,True,single,global_temp
10,3654,baseline,0.06505036354064941,0.059793710708618164,0.07231378555297852,1.087913139521438,0.8995568831477122,177.29296875,177.62890625,177.3359375,True,True,single,global_temp
