N,T,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block
500,2000,0.00698542594909668,0.30974626541137695,0.008431196212768555,0.02255209095037601,0.8285213358595142,179.5703125,183.6171875,186.875,True,True
1000,2000,0.014230728149414062,0.47432494163513184,0.018446683883666992,0.030002065884110436,0.7714518359592095,216.21484375,234.30078125,250.51953125,True,True
2000,2000,0.0388491153717041,0.6288399696350098,0.04729890823364258,0.06177901731382126,0.8213533213029145,277.33984375,340.1875,391.51171875,True,True
4000,2000,0.13250446319580078,0.8181281089782715,0.15646886825561523,0.16196053129292975,0.8468423442504548,405.63671875,619.390625,678.55859375,True,True
8000,2000,0.5386297702789307,1.871675968170166,0.5664031505584717,0.287779391005121,0.9509653499417217,873.8359375,1408.28125,1897.50390625,True,True
10000,2000,0.6837825775146484,2.5057590007781982,0.8774666786193848,0.27288441438394123,0.7792689958216067,1232.8359375,2030.6875,2794.56640625,True,True
