N,T,block_size,gpu_full_pageable_h2d,gpu_full_pageable_comp,gpu_full_pageable_d2h,gpu_full_pageable_total,gpu_full_pageable_mem,gpu_block_pageable_h2d,gpu_block_pageable_comp,gpu_block_pageable_d2h,gpu_block_pageable_total,gpu_block_pageable_mem,gpu_full_pinned_h2d,gpu_full_pinned_comp,gpu_full_pinned_d2h,gpu_full_pinned_total,gpu_full_pinned_mem,gpu_block_pinned_h2d,gpu_block_pinned_comp,gpu_block_pinned_d2h,gpu_block_pinned_total,gpu_block_pinned_mem,version,dataset
500,2000,1024,0.0007641440024599433,0.03371880899067037,0.0004022549983346835,0.034885207991464995,18.09716796875,0.0004617509985109791,0.0032415040041087195,0.0003804769949056208,0.0040837319975253195,20.00390625,0.0004024660011054948,0.0014041059912415221,0.0005071680061519146,0.0023137399984989315,20.00390625,0.00035740000021178275,0.0013941679935669526,0.000503426999785006,0.0022549949935637414,20.00390625,optimized,random
1000,2000,1024,0.0008381000079680234,0.003063545998884365,0.0011667390062939376,0.005068385013146326,32.37841796875,0.001419488005922176,0.0031174769974313676,0.0011381679942132905,0.005675132997566834,36.193359375,0.0006740309909218922,0.0030319259967654943,0.0003840669960482046,0.004090023983735591,32.37841796875,0.0012239259958732873,0.0031175629992503673,0.0003794930089497939,0.0047209820040734485,36.193359375,optimized,random
2000,2000,1024,0.0020777850004378706,0.010492405999684706,0.004212207000819035,0.016782398000941612,72.57080078125,0.0033743749954737723,0.012201329998788424,0.004421883000759408,0.019997587995021604,75.46337890625,0.0013967669947305694,0.010461126003065147,0.0044718110002577305,0.016329703998053446,72.57080078125,0.0027888220065506175,0.01118657500774134,0.0042402539984323084,0.018215651012724265,75.46337890625,optimized,random
4000,2000,1024,0.005080916002043523,0.05826218599395361,0.016705550006008707,0.08004865200200584,193.62158203125,0.006780615003663115,0.027072637996752746,0.016215663010370918,0.05006891601078678,197.81640625,0.0027849809994222596,0.0468517840054119,0.016217177995713428,0.06585394300054759,193.62158203125,0.0055323569977190346,0.026768854004330933,0.015895657998044044,0.04819686900009401,197.81640625,optimized,random
8000,2000,1024,0.009757624997291714,0.1742580709978938,0.0636664350022329,0.24768213099741843,620.89794921875,0.011638588999630883,0.08060610099346377,0.06431421999877784,0.1565589099918725,623.53857421875,0.005510971997864544,0.1748929559980752,0.06345361900457647,0.2438575470005162,620.89794921875,0.010709862006478943,0.08084880000387784,0.06326113600516692,0.1548197980155237,623.53857421875,optimized,random
10000,2000,1024,0.015001838997704908,0.1976720259990543,0.0992641979973996,0.3119380629941588,925.22021484375,0.013925164996180683,0.12615467600699048,0.09894446699763648,0.23902430800080765,927.56494140625,0.006883057998493314,0.19436934600526,0.09939208799914923,0.30064449200290255,925.22021484375,0.013236054990557022,0.12559095199685544,0.09920586900261696,0.23803287599002942,927.56494140625,optimized,random
15000,2000,1024,0.020559358992613852,0.6240084229939384,0.22386513999663293,0.8684329219831852,1954.16650390625,0.02144292599405162,0.27261148500838317,0.21991158300079405,0.5139659940032288,1956.76025390625,0.020285375998355448,0.6268005460005952,0.22294129700458143,0.8700272190035321,1954.16650390625,0.020281944001908414,0.2727936339942971,0.21957398499944247,0.512649562995648,1956.76025390625,optimized,random
20000,2000,1024,0.026941849995637313,1.1274326469865628,0.39532850599789526,1.5497030029800953,3365.88427734375,0.02680392201000359,0.5144832389923977,0.3907446439989144,0.9320318050013157,3367.29638671875,0.026679034999688156,1.1250903660111362,0.3951778299961006,1.546947231006925,3365.88427734375,0.027189459011424333,0.4746107050013961,0.389607574994443,0.8914077390072634,3367.29638671875,optimized,random
