N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode
500,2000,optimized,0.03896641731262207,0.07935309410095215,0.05243706703186035,0.491051013877914,0.7431082537272037,204.02734375,215.703125,212.796875,False,True,multi
1000,2000,optimized,0.0727999210357666,0.21781563758850098,0.03448772430419922,0.3342272476014821,2.1108937311616844,238.23046875,269.859375,263.15234375,False,True,multi
2000,2000,optimized,0.0794363021850586,0.8197193145751953,0.06237387657165527,0.09690671034904798,1.2735508285075396,289.76953125,433.7265625,412.50390625,False,True,multi
4000,2000,optimized,0.15499663352966309,3.8704640865325928,0.16728925704956055,0.040046007420396684,0.9265187511935946,493.80859375,1006.12890625,758.4140625,False,True,multi
8000,2000,optimized,0.5152428150177002,16.602304458618164,0.4071986675262451,0.03103441551153102,1.2653352186730604,1014.9765625,2845.35546875,1991.78515625,False,True,multi
10000,2000,optimized,0.776115894317627,26.442121505737305,0.6104292869567871,0.02935149867416003,1.2714263730478073,1357.703125,4215.41015625,2919.31640625,False,True,multi
15000,2000,optimized,1.9822649955749512,64.37881135940552,1.881507396697998,0.03079064297271076,1.0535515295096796,2515.60546875,8751.5078125,5948.77734375,False,True,multi
20000,2000,optimized,3.9700138568878174,116.22400140762329,3.2932355403900146,0.03415829612477461,1.2055055911420332,4017.6484375,15002.79296875,10121.109375,False,True,multi
