#Amsterdam,Berlin,Delhi,London,Melbourne,Montpellier,Mumbai,Munich,Paris,Pune
17.46,18.21,30.12,16.21,8.73,25.17,26.22,15.61,17.86,23.2
17.61,17.7,30.45,16.5,10.03,25.67,26.35,16.78,18.16,23.73
18.59,19.5,30.03,17.0,11.62,24.84,26.61,19.22,20.96,23.99
18.69,22.75,29.87,17.06,11.03,23.85,26.3,21.47,20.08,23.51
18.0,22.44,27.76,16.51,9.64,24.22,26.22,21.38,18.65,23.48
18.25,22.83,28.51,16.68,9.46,24.31,26.33,24.69,19.22,23.66
18.44,21.35,29.46,16.44,7.45,26.29,26.24,23.56,19.81,23.46
18.62,22.09,30.28,17.84,7.06,27.71,26.31,23.67,21.07,23.52
17.88,19.94,30.9,17.31,8.45,30.17,26.26,22.51,20.57,23.53
16.88,18.45,31.08,15.38,9.63,29.47,26.3,22.27,18.13,23.56
16.87,16.98,31.18,15.49,8.86,25.72,26.19,15.72,16.74,23.71
17.06,18.4,30.08,16.09,8.38,24.38,26.3,16.28,18.3,23.75
16.94,19.53,31.22,15.11,9.67,23.4,26.53,20.12,16.51,23.75
16.97,20.94,30.63,13.91,11.27,21.29,26.26,17.87,14.15,23.61
16.81,19.41,31.03,15.19,12.83,19.83,26.37,16.34,14.67,23.52
16.78,18.15,31.34,15.9,11.37,19.1,26.62,11.13,15.88,23.81
17.17,16.22,31.46,17.54,11.47,22.2,26.44,13.31,16.81,23.47
16.61,17.59,31.21,15.78,11.31,23.66,26.22,16.14,17.15,23.09
18.14,18.49,30.96,16.43,13.08,22.35,26.28,18.2,19.64,23.45
18.27,20.85,31.84,17.27,13.26,22.35,26.17,21.65,19.38,23.27
18.11,20.1,31.45,16.37,12.17,25.06,26.19,19.12,18.75,23.44
17.73,20.63,31.64,18.89,10.6,26.99,26.44,21.23,20.1,23.55
17.4,20.66,32.04,16.16,8.43,26.56,26.19,22.27,17.69,23.37
16.28,17.27,29.2,15.27,8.3,23.96,26.36,15.86,15.27,23.0
16.02,15.53,30.42,15.35,8.86,23.16,25.17,14.0,16.31,21.57
17.26,15.03,30.78,17.51,7.68,23.74,24.47,14.23,18.74,20.85
17.09,13.97,31.67,18.9,9.65,23.26,25.8,15.35,21.09,22.59
18.46,15.73,29.54,18.49,10.47,23.92,26.48,17.34,20.42,23.65
18.04,16.59,29.8,16.51,8.6,23.65,26.48,20.18,18.47,23.53
18.15,18.25,30.8,17.29,9.2,23.36,26.23,20.97,20.43,23.32
18.06,18.13,30.09,18.63,10.23,23.42,26.5,22.35,21.65,23.7
18.63,18.18,30.54,19.1,8.36,24.29,26.38,20.16,21.62,23.38
19.56,17.63,28.83,19.77,8.03,25.63,25.62,19.67,22.71,22.56
20.31,19.51,29.15,19.57,8.62,24.34,25.67,18.82,24.59,22.62
17.27,22.31,29.74,13.35,8.55,24.43,26.0,21.38,19.33,23.22
15.56,20.79,28.17,13.64,9.43,21.94,26.18,19.32,15.88,23.27
15.63,15.04,28.11,14.57,9.02,20.48,26.21,12.46,15.24,23.06
15.36,14.61,27.77,14.82,12.57,19.06,26.21,9.83,14.36,23.34
15.63,13.88,28.85,14.47,12.7,19.43,26.02,10.3,15.41,23.33
16.57,14.38,29.55,17.78,8.54,21.61,26.35,11.89,17.66,23.49
18.34,16.19,29.61,17.64,7.87,23.5,26.06,14.77,19.4,23.38
16.03,17.02,29.64,14.55,9.39,22.43,26.13,16.15,16.48,23.89
16.08,14.32,29.04,14.67,10.34,20.12,26.38,12.8,15.69,24.01
15.6,13.78,29.13,14.79,8.96,19.83,26.55,13.45,15.85,24.39
14.23,15.02,29.59,12.6,9.94,18.14,27.34,13.77,14.06,24.83
14.72,14.96,30.25,12.64,10.44,17.78,27.12,10.3,14.71,24.89
15.0,14.54,30.07,13.64,13.26,18.79,28.56,12.29,14.22,25.85
14.61,13.78,30.13,13.67,13.98,17.98,28.98,10.09,14.55,25.75
14.44,14.12,30.01,13.67,10.77,19.7,28.44,13.27,15.93,25.24
13.04,12.33,29.95,11.38,9.77,18.97,27.64,12.58,12.47,24.44
12.82,13.21,30.07,10.63,11.66,16.09,26.54,10.7,11.59,23.32
12.11,12.26,29.12,10.64,9.44,16.15,26.56,8.53,11.08,23.3
12.07,13.0,29.55,11.4,10.69,15.7,26.67,8.54,11.0,23.25
12.78,12.04,29.61,11.54,12.06,15.02,26.57,9.22,11.18,23.67
13.11,11.49,29.33,11.21,10.36,15.23,25.85,7.68,12.08,23.16
14.03,11.7,29.16,13.15,11.78,16.44,25.91,7.9,12.33,22.81
13.53,12.74,29.19,14.2,13.48,16.45,26.11,9.25,13.83,22.57
13.67,13.2,26.25,11.85,15.02,17.71,26.2,11.25,13.79,22.93
13.3,12.65,24.96,14.63,17.2,17.65,26.01,12.48,12.8,23.49
13.58,14.57,23.94,15.28,13.56,19.78,26.23,12.67,15.52,24.14
14.01,13.05,26.03,15.54,10.81,18.55,26.11,11.76,15.45,24.09
13.73,13.46,26.94,14.64,10.27,18.67,26.22,12.31,16.34,24.23
14.02,14.95,27.23,15.25,13.98,18.14,26.81,13.19,15.41,24.48
15.52,14.98,27.75,15.28,12.15,18.03,27.05,14.52,16.57,24.5
16.16,15.37,27.84,15.42,11.76,18.42,26.83,14.45,18.03,24.44
13.66,14.04,27.3,13.06,11.78,17.18,27.34,15.05,13.9,24.84
13.15,11.93,26.82,15.3,11.82,16.92,27.58,10.71,13.59,24.78
15.11,11.46,26.97,13.8,11.87,18.45,27.54,12.57,16.64,24.73
13.7,12.8,26.25,10.98,13.33,19.93,27.59,11.22,12.77,24.4
13.26,11.21,26.03,11.21,16.08,17.46,27.62,9.87,11.56,23.82
13.27,10.59,25.96,12.51,15.02,19.22,27.63,12.35,11.2,24.04
12.43,10.06,26.06,10.18,11.89,17.63,26.88,7.1,10.07,23.12
12.88,9.98,26.53,12.29,13.76,15.68,27.84,8.06,10.86,24.85
12.81,10.22,28.17,11.74,17.36,17.24,28.51,7.88,12.67,24.46
12.62,8.31,28.78,12.2,13.62,17.53,27.97,7.98,12.58,24.32
13.77,11.15,28.22,13.6,12.96,17.4,27.53,9.14,13.15,23.81
14.5,13.91,28.02,14.26,16.09,16.92,26.58,11.37,14.53,23.51
13.19,12.89,27.45,11.91,13.5,18.59,27.04,12.02,14.86,24.09
14.46,11.27,27.34,15.05,12.76,17.51,27.26,12.7,15.25,24.58
14.77,14.49,26.87,15.08,12.74,17.54,27.21,13.06,14.76,23.99
14.6,14.72,26.49,14.91,12.75,17.93,27.85,13.86,15.2,23.9
16.35,14.83,26.3,16.03,17.86,17.44,28.12,15.53,17.73,24.72
13.43,15.24,25.32,11.65,20.08,17.04,27.79,14.31,15.96,24.47
12.99,13.15,24.76,12.72,20.76,18.06,26.19,12.74,14.56,23.2
14.82,12.05,26.61,14.17,18.23,18.07,25.55,11.92,15.14,22.44
13.47,12.29,27.03,12.41,12.74,17.66,25.6,12.85,12.52,22.2
12.73,11.14,25.07,12.91,12.47,17.44,25.8,13.35,13.39,22.18
11.79,11.32,25.98,10.01,12.96,13.9,26.79,7.83,10.52,23.0
12.56,9.09,25.26,12.28,14.3,14.56,26.65,5.79,11.76,23.67
14.49,10.85,23.56,15.35,15.21,17.07,24.87,8.44,14.47,21.88
13.55,13.66,23.33,13.22,13.18,16.43,24.97,10.76,14.1,21.0
12.72,11.45,24.23,11.34,13.4,14.89,25.79,11.62,12.18,21.37
12.02,9.75,23.91,8.59,17.99,17.3,25.55,8.44,10.44,21.69
12.78,9.42,23.82,9.93,16.22,14.02,25.17,6.43,9.74,21.78
11.14,8.17,22.76,9.9,18.07,12.82,25.13,6.23,11.17,20.99
9.45,4.75,22.91,5.91,10.61,12.77,24.87,2.87,7.15,20.47
10.63,5.46,22.48,8.37,12.13,11.78,24.38,3.15,7.14,20.05
11.84,8.64,22.11,9.33,13.63,12.43,23.79,4.66,7.88,19.91
10.35,9.52,22.15,7.91,12.31,15.18,23.42,7.93,9.59,19.15
9.36,7.86,22.78,9.45,11.15,14.14,23.11,7.42,11.12,18.84
10.04,7.17,23.61,10.04,11.55,16.22,22.44,7.4,10.89,18.51
8.59,8.61,23.46,5.26,12.05,12.65,22.73,5.95,7.05,19.3
7.59,5.1,21.53,4.44,12.48,9.55,24.24,2.93,5.33,20.35
4.29,5.77,20.47,8.02,12.61,9.28,24.34,3.94,3.83,19.81
6.12,5.96,20.35,5.3,13.63,7.66,23.93,3.91,3.06,19.83
8.51,4.94,20.96,6.12,14.64,8.51,23.77,3.75,5.6,19.56
9.33,6.12,20.87,7.99,17.12,8.47,23.8,2.77,8.65,19.48
7.86,4.76,20.77,6.92,18.59,12.24,23.36,4.52,9.99,18.86
6.8,3.15,19.73,4.88,18.01,13.41,23.17,4.49,7.77,18.42
7.74,3.73,20.43,2.47,20.85,9.03,22.83,0.55,5.53,18.42
8.53,3.3,19.31,6.43,24.1,8.66,22.73,-0.53,5.53,19.51
9.89,6.29,19.54,8.89,21.67,7.89,22.43,-1.8,6.69,19.7
8.42,5.45,19.67,8.25,18.09,8.23,22.87,-0.88,6.17,20.21
7.26,4.03,19.13,2.68,20.08,9.63,23.65,0.18,6.72,20.14
7.3,2.8,19.1,4.07,20.56,8.42,23.87,1.01,5.09,20.34
7.24,3.39,17.95,2.86,21.49,8.86,23.91,0.53,5.28,20.6
7.65,3.22,16.08,9.14,22.71,9.75,24.9,0.62,5.76,21.63
10.69,2.91,15.3,11.05,23.93,12.24,25.42,3.98,8.01,22.04
10.2,6.93,15.72,12.84,23.07,11.62,25.47,5.57,8.23,22.27
10.04,6.58,15.84,9.56,23.12,13.94,24.3,3.68,10.11,21.74
6.64,8.3,15.54,4.29,22.21,13.64,22.84,5.73,8.74,20.14
5.22,3.56,16.78,1.56,23.18,11.3,23.33,3.54,4.41,20.14
6.08,2.78,17.42,3.1,20.78,7.02,24.05,-0.46,3.35,19.81
7.12,2.87,15.53,6.87,17.39,7.41,23.55,0.02,5.86,19.18
6.14,4.21,17.57,3.18,20.85,7.75,23.27,1.26,5.44,19.21
4.71,0.69,18.64,2.62,26.5,6.53,22.51,0.56,1.5,18.57
3.44,0.25,17.73,0.14,26.43,4.93,22.54,-1.45,1.96,18.61
2.24,-0.05,16.81,2.51,19.74,4.32,22.64,-2.41,1.01,18.45
1.84,0.05,17.3,2.7,15.42,3.27,23.2,-3.55,-1.41,19.89
5.83,-0.83,17.22,5.67,14.34,3.36,24.13,-3.17,-0.12,19.97
6.86,1.63,17.2,4.53,14.41,6.07,22.6,-0.96,4.21,19.06
7.89,4.6,17.87,4.95,15.91,5.79,23.8,-0.72,4.01,21.24
8.16,5.65,17.2,7.13,15.76,5.82,24.16,-2.24,2.96,21.25
5.13,3.65,17.15,7.56,16.07,6.74,22.35,-1.37,2.43,20.98
4.2,2.98,16.24,1.65,14.65,6.96,23.71,-0.57,2.23,21.39
3.83,0.58,17.15,-0.81,16.81,4.32,24.17,-3.85,0.62,20.96
1.48,-0.84,17.57,0.39,17.19,8.11,23.85,-3.53,4.57,20.67
0.59,2.0,16.7,0.31,16.85,9.93,22.37,1.8,5.42,19.6
2.37,2.4,16.62,-0.67,18.14,6.11,21.31,-0.18,1.24,18.56
2.9,0.5,14.44,4.92,23.87,5.58,20.65,-2.16,5.21,17.99
3.65,1.7,12.69,2.81,19.07,10.37,20.76,1.27,4.73,18.41
2.87,-0.21,12.92,2.64,18.05,8.33,21.91,-0.01,3.93,20.24
4.01,0.16,11.96,0.77,17.9,6.12,24.05,-1.54,2.89,20.13
3.61,-0.21,12.6,3.75,18.4,4.98,23.35,-1.38,2.47,18.99
5.98,-1.83,13.68,2.28,23.62,5.48,21.6,-3.03,5.21,18.49
5.24,-0.49,14.43,3.38,24.43,5.08,21.63,-2.46,3.41,17.95
6.9,0.85,15.13,7.34,18.1,5.83,20.45,-2.29,5.89,17.45
7.25,3.82,16.56,8.53,17.77,7.05,21.6,-0.95,8.5,17.31
5.92,4.14,16.01,7.91,19.51,8.99,21.78,1.08,7.81,16.91
7.8,5.73,14.91,8.28,21.22,8.35,22.12,1.22,7.21,18.57
7.61,8.08,15.37,8.05,16.58,7.2,21.58,0.12,7.5,18.65
6.6,6.64,13.87,8.63,16.95,7.33,22.04,0.35,4.36,18.58
4.91,2.32,13.65,4.87,20.21,8.43,21.52,0.05,4.97,16.87
4.35,1.43,15.39,2.05,25.19,7.23,21.23,-0.26,3.87,17.22
4.25,1.49,16.29,-0.06,24.45,4.4,21.34,-0.65,0.39,17.36
3.27,0.19,15.06,3.96,19.1,4.21,21.68,-3.91,2.58,18.39
6.84,1.47,13.34,9.19,17.21,11.42,21.98,1.27,11.14,18.9
8.94,7.38,12.81,9.73,18.41,9.2,21.85,4.21,10.79,18.36
5.91,5.67,12.07,5.74,18.51,10.01,21.26,1.88,6.57,17.79
5.68,2.54,10.98,6.25,17.35,9.17,21.03,1.27,6.66,17.7
7.69,3.62,11.02,7.41,17.26,13.05,21.48,3.96,9.47,17.98
7.07,5.41,12.51,6.96,18.78,13.77,21.93,4.34,10.41,18.54
5.91,5.42,13.02,5.03,20.71,10.87,21.45,7.77,8.39,18.03
4.65,4.5,11.71,2.75,26.41,11.83,20.59,4.59,6.21,17.38
0.8,-0.25,11.65,1.42,18.36,12.8,20.3,2.84,4.92,17.04
-0.2,-3.05,11.97,2.6,17.96,11.59,20.64,3.85,5.45,17.82
2.18,-0.1,11.94,4.51,17.37,8.84,22.1,3.93,5.05,17.56
5.28,2.1,12.56,6.18,19.44,8.85,22.85,2.57,5.19,18.79
4.16,0.97,13.25,4.82,24.67,7.33,24.17,0.97,4.99,20.77
3.72,0.05,15.13,5.28,23.03,6.98,25.31,0.23,4.57,21.52
3.0,-1.07,14.88,4.62,15.84,6.86,25.79,-0.35,2.99,21.85
2.04,-2.68,14.12,3.11,16.26,9.37,26.15,-1.32,2.69,22.16
4.23,-1.3,13.23,6.92,17.83,8.73,26.62,0.05,5.38,22.72
4.74,1.44,14.54,4.04,19.64,11.44,26.19,2.78,7.24,22.18
3.99,0.3,15.02,3.44,21.02,9.12,25.75,0.34,4.66,21.7
4.57,1.08,16.6,5.85,27.58,7.73,24.61,2.03,7.36,20.68
3.59,0.35,15.33,2.36,28.24,8.43,23.89,0.74,4.15,20.4
2.62,-0.74,13.98,2.02,19.9,8.55,23.78,-0.33,5.76,20.57
3.03,-1.03,14.24,2.67,25.16,13.67,23.7,-1.9,4.86,20.64
5.12,-0.73,15.6,6.0,21.18,12.78,23.06,-1.29,8.9,19.77
6.43,0.23,12.97,8.51,19.21,10.13,22.01,0.56,7.59,18.36
9.65,4.95,12.18,9.12,18.88,9.94,21.36,2.23,10.1,17.39
6.31,6.75,12.37,6.13,22.02,11.71,21.33,3.97,6.93,17.8
4.89,4.97,12.95,4.2,22.25,7.82,21.81,2.86,4.71,18.2
4.8,3.69,12.25,5.72,24.84,7.72,22.0,2.39,4.22,18.11
8.22,6.2,13.32,10.16,29.34,7.95,22.29,3.34,7.49,18.44
7.71,8.64,14.39,7.17,25.14,8.79,23.37,5.64,8.97,19.26
4.35,3.67,17.75,3.68,17.11,7.82,23.97,4.59,8.11,19.19
5.69,3.67,17.86,5.47,16.11,7.55,24.4,3.19,6.85,20.37
3.89,2.18,18.92,3.32,16.55,6.04,24.35,0.86,2.72,20.85
4.15,1.01,18.51,2.72,18.24,5.15,24.1,-0.66,2.79,20.78
2.33,0.24,17.51,1.7,20.53,5.05,24.38,-1.71,2.22,20.88
1.62,-1.04,15.27,1.34,20.26,6.24,24.72,-1.69,1.08,22.21
0.97,-1.98,15.94,0.12,19.57,8.0,25.1,-2.82,-0.67,22.45
-1.48,-2.75,16.92,-0.46,22.33,5.33,23.88,-2.07,-0.92,20.98
-0.6,-2.98,15.37,-0.39,26.51,2.58,25.06,-2.52,-2.92,21.26
0.73,-3.47,15.69,1.61,22.86,2.55,23.84,-2.47,-3.39,20.52
0.04,-3.18,15.44,2.94,21.47,2.94,23.75,-2.02,-2.03,20.68
2.32,-1.3,17.38,3.47,24.8,4.08,24.02,-1.58,0.15,21.97
3.38,0.02,19.17,3.84,18.17,5.68,23.02,-1.01,2.5,20.89
2.58,0.4,16.99,1.38,18.46,4.59,22.77,-1.43,0.27,19.63
1.17,-0.48,16.7,2.61,21.34,3.23,22.95,-3.95,-0.2,20.14
0.49,-1.48,15.98,2.58,19.5,5.27,25.56,-5.41,1.15,21.86
2.95,-1.27,17.39,5.79,17.61,8.1,27.16,-2.88,5.87,23.16
3.01,1.31,18.72,3.03,17.48,9.79,26.85,1.26,3.04,22.57
1.51,0.36,19.84,3.62,19.37,9.93,26.18,-0.96,3.82,22.61
0.8,0.41,18.94,5.21,19.07,6.61,26.33,-2.2,2.3,22.74
0.98,-0.15,19.66,7.23,20.11,6.35,27.0,-3.91,1.46,23.28
0.48,-0.71,21.17,6.39,20.29,7.66,26.99,-3.17,3.23,23.43
0.11,-1.01,23.15,2.97,22.97,4.4,27.25,-3.56,0.1,23.68
0.15,-1.27,23.03,1.34,23.57,3.89,27.74,-4.84,-0.61,24.38
-0.3,-4.44,24.59,-0.06,24.93,4.89,28.11,-4.77,-1.23,25.04
-0.77,-4.25,24.96,0.2,22.8,4.59,28.63,-5.21,-0.37,25.32
-2.14,-6.42,23.86,-0.55,17.38,6.32,29.3,-9.3,-2.09,25.64
-3.04,-6.63,21.07,-1.37,19.39,1.04,29.32,-11.97,-3.34,25.3
-3.11,-8.3,23.31,-2.12,23.18,-1.56,29.93,-11.47,-4.32,25.92
-5.71,-9.76,23.09,-3.29,22.62,2.01,29.88,-11.83,-5.04,26.06
-5.06,-9.91,23.92,-2.43,17.82,7.72,29.51,-7.89,-1.14,26.28
-4.47,-9.51,24.99,-1.11,18.77,9.25,29.34,-4.71,1.69,26.27
-2.72,-8.45,25.05,1.71,21.48,10.75,29.31,-0.33,2.45,26.24
1.92,-4.72,24.22,3.13,17.24,10.08,28.16,2.49,3.18,25.01
3.46,0.66,21.66,5.3,17.19,10.37,28.12,3.12,5.68,25.21
3.79,0.26,21.34,5.26,18.34,9.79,29.26,1.08,5.14,26.03
3.65,-0.07,22.04,4.23,21.23,7.68,29.39,2.86,5.03,26.36
3.45,2.31,23.93,5.3,21.9,8.46,28.41,3.37,5.15,25.77
4.46,3.16,24.56,6.02,21.25,11.03,28.9,5.86,8.33,26.29
7.87,4.25,24.36,8.87,24.66,12.91,29.28,5.49,11.64,26.71
6.88,8.48,24.4,8.28,19.97,13.47,30.39,7.45,12.14,27.3
7.62,6.09,25.38,7.57,17.59,10.72,30.89,5.64,9.36,27.84
4.54,7.07,27.11,5.83,17.84,9.49,29.84,5.67,8.24,27.49
5.17,2.67,27.27,7.36,17.64,9.96,29.49,3.06,7.58,27.06
5.35,1.89,25.5,7.88,17.27,13.36,28.34,4.23,8.37,26.34
2.4,-0.93,25.09,7.83,18.88,10.66,29.33,5.29,8.21,26.23
-1.51,-3.45,23.13,0.54,24.48,8.99,29.82,1.91,3.78,26.55
-1.29,-4.0,24.24,-0.31,20.72,8.13,29.55,-3.22,-0.48,26.84
-0.77,-3.03,25.99,-0.23,18.97,7.99,28.93,-4.41,0.05,26.36
2.82,-2.03,27.99,2.32,16.11,6.37,27.87,-3.89,0.9,25.13
3.09,-0.07,27.86,3.57,18.11,5.89,27.36,-2.55,2.27,24.17
5.18,1.19,25.76,6.17,20.03,6.65,26.36,-2.43,3.15,23.13
5.1,1.7,24.56,7.11,22.58,8.79,25.76,0.5,3.56,23.26
5.89,2.49,25.28,6.63,20.19,9.17,29.57,1.26,6.94,26.42
5.55,4.07,26.24,7.52,18.92,10.24,31.98,4.65,8.6,27.85
5.2,3.27,26.3,6.25,13.78,10.5,32.76,3.65,7.97,28.95
4.57,2.62,27.67,7.36,16.36,10.61,31.11,2.54,6.8,29.19
4.97,1.25,29.76,4.14,19.99,12.79,29.81,5.86,7.12,27.84
5.61,3.83,28.06,4.64,17.08,11.79,29.28,4.79,6.15,27.68
7.21,3.89,28.17,5.95,16.8,11.33,28.96,6.08,5.62,26.93
6.98,2.14,28.24,5.39,16.84,9.13,28.5,3.78,5.73,26.43
5.13,0.7,27.83,5.31,18.87,9.96,29.5,3.81,7.24,27.63
6.62,3.4,29.12,7.52,16.7,11.23,29.57,7.37,9.41,28.2
10.56,10.21,30.07,9.07,16.0,13.08,29.65,10.65,10.64,28.16
8.99,13.16,31.96,8.67,16.25,13.99,30.27,11.41,10.92,28.92
5.84,9.18,32.08,5.96,15.68,12.74,30.45,7.75,8.05,28.94
7.0,5.69,31.79,8.29,15.67,11.7,29.31,5.98,9.84,27.53
11.41,9.51,30.1,10.26,16.65,13.57,30.09,9.68,13.45,28.75
12.11,11.96,29.74,8.97,19.66,13.95,30.52,12.06,13.63,28.57
9.92,13.31,29.02,8.1,18.45,13.08,30.46,12.37,10.95,29.05
13.32,14.82,29.1,9.98,21.55,12.29,31.04,11.23,10.37,29.57
11.3,13.55,29.74,9.48,19.57,11.44,30.45,11.28,11.39,29.15
9.96,14.61,28.01,8.87,20.88,10.24,30.32,12.43,9.69,28.68
9.37,14.54,27.41,8.33,19.02,12.23,30.49,10.36,12.27,28.91
9.49,11.98,28.78,11.2,14.02,12.29,31.06,10.51,11.66,29.48
11.93,14.43,31.13,10.29,14.58,14.95,31.76,12.1,11.43,29.8
10.27,11.53,32.55,10.17,15.61,15.24,32.19,11.0,11.69,31.13
11.6,12.92,32.78,12.22,13.39,16.75,33.83,12.56,13.58,32.16
14.97,15.1,32.32,14.61,14.62,16.95,33.16,13.3,16.19,31.56
17.35,16.41,32.49,16.68,15.94,17.95,32.34,13.63,17.64,30.78
15.45,17.78,32.8,16.33,15.08,19.02,30.89,15.96,19.29,28.53
13.65,14.66,28.49,14.91,14.92,18.34,31.66,17.48,18.21,28.98
14.87,15.14,28.34,15.12,16.01,16.42,31.31,18.75,18.79,29.5
11.39,15.9,29.03,10.86,18.2,17.53,31.16,15.82,13.39,29.26
11.36,11.1,31.23,11.23,19.12,18.84,31.44,14.92,13.34,29.16
10.61,12.28,33.39,9.71,16.48,18.52,30.6,15.18,12.04,28.99
9.8,8.84,34.94,9.08,14.21,16.53,30.26,10.31,10.51,28.21
10.0,10.43,33.36,8.82,13.93,15.72,30.65,13.25,12.45,29.25
11.28,13.75,34.82,8.1,13.55,15.83,31.03,16.16,11.83,30.02
9.71,16.6,34.98,6.67,14.38,14.19,30.71,16.75,9.42,29.39
9.73,15.9,35.34,5.21,14.32,12.15,30.6,13.11,5.86,28.7
8.08,11.33,34.5,7.75,15.41,12.26,30.64,10.64,7.91,28.71
10.33,10.82,32.92,8.73,16.28,13.8,30.09,11.77,9.99,28.37
9.84,12.98,32.51,9.65,17.64,14.87,30.96,12.62,10.69,28.91
10.93,11.08,32.62,12.5,13.52,17.01,31.15,13.44,11.64,30.02
13.17,11.55,34.05,12.8,14.42,18.75,31.02,15.2,15.09,29.67
15.34,13.78,34.8,14.43,15.15,18.69,31.48,13.84,17.75,30.13
16.79,15.77,34.03,16.25,14.68,18.21,31.0,13.83,17.81,29.46
18.23,16.93,31.16,16.05,14.2,18.37,31.12,14.17,18.02,29.06
16.45,18.44,31.74,13.54,13.4,17.8,32.11,13.94,15.78,30.03
12.06,18.27,32.91,11.91,9.7,15.97,32.16,13.63,12.2,30.91
13.03,14.32,35.48,11.86,12.27,15.66,32.03,14.25,13.48,30.08
15.77,16.27,37.2,10.88,13.41,15.1,30.77,16.79,14.81,27.9
13.34,18.72,36.08,11.4,13.53,10.15,31.41,16.76,11.46,29.14
17.16,17.18,33.58,12.56,12.0,11.06,31.88,14.52,11.88,29.64
16.88,14.78,34.8,14.18,12.23,14.52,31.11,11.72,14.73,29.01
14.09,15.66,35.63,11.75,11.84,16.59,31.73,9.97,14.53,29.76
10.65,15.4,35.95,10.65,12.03,17.29,32.76,11.79,12.65,31.01
10.29,12.87,36.0,10.53,12.89,18.1,32.06,13.37,11.37,29.81
11.78,14.9,36.14,12.58,12.03,19.43,31.28,13.06,12.07,29.28
15.32,14.43,36.41,12.6,13.41,18.99,31.56,13.11,14.55,29.09
16.75,16.22,36.6,14.26,13.2,18.36,30.89,15.63,16.43,28.98
16.76,17.29,37.47,14.26,13.69,18.42,31.44,16.53,16.72,28.79
17.37,17.98,37.97,13.35,12.76,18.86,31.57,16.05,15.93,29.41
17.13,18.92,37.66,14.18,13.35,18.65,31.05,15.64,17.63,28.59
18.97,19.65,36.67,15.93,11.5,19.62,31.11,16.87,18.48,28.7
20.0,19.53,37.01,16.1,11.9,20.12,32.26,18.16,20.86,30.36
19.77,20.55,37.71,18.61,13.58,20.64,31.33,19.43,21.57,29.47
21.15,23.9,37.03,18.46,15.18,19.37,31.33,20.55,20.0,29.2
20.72,24.36,38.17,15.75,13.25,18.85,30.85,20.28,18.37,28.02
20.87,24.56,35.83,16.33,11.14,19.23,31.12,20.06,19.12,28.09
20.71,24.78,37.57,17.18,10.79,19.14,31.61,20.04,19.15,28.8
17.02,23.93,38.2,17.32,10.27,20.61,31.71,17.91,17.2,27.68
16.42,20.54,34.29,17.83,10.02,20.56,31.66,17.99,17.83,27.1
17.88,20.4,35.1,18.23,10.0,19.4,29.64,19.12,19.09,25.83
17.12,21.14,36.65,16.29,11.16,19.89,28.81,19.58,18.99,25.83
16.08,19.41,37.67,14.14,10.92,19.97,29.35,19.74,18.87,26.37
19.0,17.75,36.0,14.25,10.96,20.0,29.33,19.0,19.09,26.1
20.45,20.01,36.18,15.91,13.04,19.33,29.33,18.44,20.2,26.1
17.71,23.32,37.75,16.03,12.42,20.85,28.73,19.45,19.85,24.79
18.56,25.03,36.33,15.4,11.84,21.05,28.2,19.59,19.65,24.99
17.2,22.05,34.67,16.49,10.73,21.14,28.99,20.29,19.79,25.85
16.65,20.08,36.28,16.19,10.8,20.21,29.03,21.2,18.43,25.88
14.85,17.79,38.06,14.04,11.64,19.1,29.35,18.12,16.39,25.97
15.03,16.27,38.44,14.81,9.98,20.15,29.5,13.0,14.91,26.46
15.64,17.2,37.39,16.17,10.27,19.87,29.3,14.06,16.63,26.35
17.81,18.81,36.77,15.88,9.89,21.04,29.04,15.95,16.89,25.95
16.59,22.01,37.21,15.12,8.22,21.98,28.95,17.69,16.55,26.21
15.77,21.86,35.73,14.79,10.74,20.5,28.37,18.54,16.61,25.51
16.43,20.11,35.7,17.9,9.81,21.34,28.1,17.19,18.06,25.57
17.69,21.35,35.72,19.35,8.44,23.44,28.36,18.45,19.26,25.69
18.22,22.81,37.48,18.97,8.07,24.31,28.35,20.89,21.13,25.74
13.91,18.48,38.42,14.3,8.61,25.65,28.01,20.19,15.95,24.51
13.39,13.68,39.3,14.41,9.39,22.63,27.97,11.48,14.09,24.9
14.63,14.4,39.85,15.45,8.45,21.71,27.48,12.2,14.19,24.75
14.54,14.1,38.92,17.23,9.99,22.8,26.87,14.08,16.07,23.87
15.87,17.08,38.84,19.71,9.95,23.25,26.96,14.03,17.54,24.27
15.19,18.46,33.08,18.53,10.04,23.14,27.3,15.5,18.54,24.33
16.4,19.58,33.59,16.8,8.37,25.01,27.51,15.17,19.92,24.39
19.1,21.53,31.18,18.14,7.05,24.73,27.54,13.41,20.2,24.74
17.83,21.76,33.15,17.88,9.01,23.11,26.96,17.27,21.31,24.17
19.12,17.42,33.07,18.16,9.49,23.96,26.95,18.44,22.66,24.56
18.76,16.64,34.34,20.27,9.04,24.26,27.37,14.84,23.41,24.43
18.35,17.95,33.32,19.61,8.19,24.57,27.11,15.65,22.37,24.54
17.87,20.89,32.95,18.02,8.88,25.82,26.77,19.08,23.24,24.14
17.32,23.72,33.33,18.71,11.45,25.1,26.7,19.34,22.19,24.04
17.52,24.01,34.01,21.19,12.94,24.05,26.73,18.8,20.45,23.79
