N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
500,2000,baseline,0.03617715835571289,0.6418867111206055,0.031543731689453125,0.056360659488579885,1.1468889829483613,204.62109375,216.32421875,211.50390625,True,True,multi,random
1000,2000,baseline,0.056365013122558594,0.7005608081817627,0.06445884704589844,0.08045698883562798,0.874434087882823,242.109375,273.73046875,274.67578125,True,True,multi,random
2000,2000,baseline,0.04773974418640137,0.518221378326416,0.06666302680969238,0.09212229788855059,0.7161352622449527,293.86328125,397.15234375,417.94140625,True,True,multi,random
4000,2000,baseline,0.1470496654510498,0.651799201965332,0.18462371826171875,0.22560577706701626,0.7964830674821274,499.3359375,777.59375,867.4296875,True,True,multi,random
8000,2000,baseline,0.7418570518493652,2.089698314666748,0.9664614200592041,0.35500677138062003,0.7676013097386961,1124.46875,2178.375,2101.58984375,True,True,multi,random
10000,2000,baseline,1.0577328205108643,3.0712692737579346,1.9220664501190186,0.3443959894850401,0.5503102249380437,1467.453125,3123.12890625,2993.28125,True,True,multi,random
15000,2000,baseline,2.3248143196105957,5.886407136917114,3.2710118293762207,0.39494623214733493,0.710732470831185,2589.484375,6231.9375,6056.5625,True,True,multi,random
20000,2000,baseline,3.8757519721984863,9.434940814971924,5.45896577835083,0.4107870995913629,0.7099791663045308,4125.48046875,10483.078125,10228.9140625,True,True,multi,random
